PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS08
4-character ID, AC09
Station name, KayakIsl__AK2007
Begin Date, 2007-08-26
End Date, 2017-03-20
Release Date, 2017-03-22
Source file, AC09.pbo.igs08.pos
Offset from source file, 74.95 mm North, -84.06 mm East, 5.05 mm Vertical
Reference position, 59.8684791497 North Latitude, -144.5238475695 East Longitude, 368.88533 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2012-04-22,60.66, -119.41, -4.38, 1.5, 1.15, 4.56, repro,
2012-04-23,58.83, -119.10, 0.63, 1.45, 1.11, 4.37, repro,
2012-04-24,59.94, -118.68, 0.20, 1.57, 1.19, 4.76, repro,
2012-04-25,58.51, -119.46, 1.59, 1.59, 1.19, 4.83, repro,
2012-04-26,58.13, -118.58, 2.21, 1.42, 1.09, 4.34, repro,
2012-04-27,58.94, -119.81, 1.09, 1.4, 1.08, 4.35, repro,
2012-04-28,60.24, -121.31, 5.97, 1.47, 1.13, 4.5, repro,
2012-04-29,61.07, -123.13, 8.11, 1.5, 1.13, 4.57, repro,
2012-04-30,60.62, -119.68, 2.01, 1.43, 1.09, 4.39, repro,
2012-05-01,59.18, -119.74, 5.59, 1.46, 1.13, 4.38, repro,
2012-05-02,59.39, -120.16, 6.61, 1.46, 1.12, 4.47, repro,
2012-05-03,60.66, -121.33, 6.69, 1.53, 1.16, 4.67, repro,
2012-05-04,59.63, -121.07, 4.18, 1.44, 1.08, 4.38, repro,
2012-05-05,60.63, -121.79, 2.11, 1.43, 1.07, 4.31, repro,
2012-05-06,60.37, -124.03, 3.33, 1.49, 1.13, 4.5, repro,
2012-05-07,60.33, -121.44, 1.18, 1.46, 1.09, 4.38, repro,
2012-05-08,59.18, -120.99, 5.85, 1.45, 1.1, 4.43, repro,
2012-05-09,59.43, -121.07, 6.47, 1.49, 1.12, 4.53, repro,
2012-05-10,60.10, -123.36, 9.47, 1.47, 1.1, 4.43, repro,
2012-05-11,60.18, -122.81, 8.99, 1.57, 1.21, 4.77, repro,
2012-05-12,59.92, -121.89, 7.76, 1.57, 1.21, 4.78, repro,
2012-05-13,61.56, -121.99, 4.22, 1.58, 1.2, 4.75, repro,
2012-05-14,61.89, -121.79, 2.78, 1.51, 1.16, 4.6, repro,
2012-05-15,60.12, -120.74, -0.07, 1.49, 1.14, 4.53, repro,
2012-05-16,59.40, -118.06, 0.42, 1.52, 1.15, 4.59, repro,
2012-05-17,60.59, -121.45, 0.51, 1.4, 1.09, 4.27, repro,
2012-05-18,61.11, -120.92, 3.31, 1.5, 1.16, 4.62, repro,
2012-05-19,60.71, -122.20, 6.52, 1.49, 1.14, 4.53, repro,
2012-05-20,62.17, -123.23, 4.14, 1.45, 1.13, 4.43, repro,
2012-05-21,60.99, -122.16, 6.26, 1.41, 1.07, 4.27, repro,
2012-05-22,60.05, -121.61, 1.35, 1.43, 1.09, 4.35, repro,
2012-05-23,60.29, -120.65, 2.90, 1.48, 1.11, 4.43, repro,
2012-05-24,61.08, -121.62, 2.39, 1.45, 1.09, 4.33, repro,
2012-05-25,61.29, -121.51, 4.12, 1.59, 1.19, 4.81, repro,
2012-05-26,62.30, -124.27, 4.99, 1.62, 1.21, 4.89, repro,
2012-05-27,61.66, -122.47, 5.90, 1.47, 1.09, 4.44, repro,
2012-05-28,61.43, -122.88, 9.30, 1.41, 1.06, 4.28, repro,
2012-05-29,61.69, -123.30, 10.21, 1.42, 1.06, 4.3, repro,
2012-05-30,61.54, -123.42, 9.42, 1.37, 1.03, 4.19, repro,
2012-05-31,61.70, -123.70, 9.57, 1.4, 1.06, 4.29, repro,
2012-06-01,61.73, -123.13, 8.63, 1.38, 1.05, 4.22, repro,
2012-06-02,60.77, -122.54, 7.32, 1.43, 1.08, 4.41, repro,
2012-06-03,61.57, -122.90, 3.59, 1.41, 1.08, 4.32, repro,
2012-06-04,61.58, -120.34, 0.96, 1.54, 1.14, 4.68, repro,
2012-06-05,60.52, -120.20, 2.90, 1.51, 1.13, 4.54, repro,
2012-06-06,62.57, -122.90, 6.14, 1.54, 1.14, 4.73, repro,
2012-06-07,60.88, -120.73, 7.58, 1.63, 1.19, 4.95, repro,
2012-06-08,61.92, -122.05, 9.03, 1.61, 1.18, 4.92, repro,
2012-06-09,62.19, -122.47, 5.65, 1.45, 1.08, 4.41, repro,
2012-06-10,62.73, -124.76, 4.72, 1.63, 1.19, 5.02, repro,
2012-06-11,64.42, -124.55, 5.13, 1.69, 1.25, 5.19, repro,
2012-06-12,61.40, -123.28, 5.38, 1.41, 1.04, 4.29, repro,
2012-06-13,62.81, -123.61, 7.72, 1.37, 1.01, 4.18, repro,
2012-06-14,62.57, -123.76, 3.15, 1.42, 1.04, 4.35, repro,
2012-06-15,61.29, -125.94, 8.54, 1.69, 1.22, 5.1, repro,
2012-06-16,61.51, -123.69, 10.76, 1.52, 1.12, 4.64, repro,
2012-06-17,62.70, -124.55, 6.21, 1.58, 1.17, 4.66, repro,
2012-06-18,61.17, -123.77, 5.90, 1.38, 1, 4.19, repro,
2012-06-19,62.30, -124.41, 6.46, 1.35, 0.96, 4.08, repro,
2012-06-20,62.34, -123.60, 7.32, 1.45, 1.04, 4.4, repro,
2012-06-21,62.23, -123.72, 5.25, 1.52, 1.1, 4.64, repro,
2012-06-22,61.12, -123.57, 2.07, 1.59, 1.15, 4.82, repro,
2012-06-23,61.43, -123.31, 6.09, 1.63, 1.19, 4.92, repro,
2012-06-24,61.58, -123.30, 7.80, 1.77, 1.29, 5.32, repro,
2012-06-25,61.79, -125.12, 4.21, 1.71, 1.23, 5.15, repro,
2012-06-26,62.60, -124.84, 11.08, 1.52, 1.11, 4.58, repro,
2012-06-27,61.75, -125.70, 13.63, 1.33, 0.97, 3.99, repro,
2012-06-28,61.12, -124.60, 9.74, 1.38, 1.01, 4.15, repro,
2012-06-29,62.08, -122.78, 8.16, 1.35, 0.98, 4.05, repro,
2012-06-30,61.63, -125.07, 9.68, 1.58, 1.1, 4.51, repro,
2012-07-01,61.75, -124.85, 10.63, 1.31, 0.94, 3.93, repro,
2012-07-02,62.27, -124.77, 10.46, 1.47, 1.07, 4.38, repro,
2012-07-03,62.55, -124.87, 10.16, 1.46, 1.06, 4.37, repro,
2012-07-04,63.08, -125.03, 9.97, 1.4, 1.01, 4.17, repro,
2012-07-05,62.68, -126.07, 11.47, 1.38, 1.02, 4.22, repro,
2012-07-06,63.59, -127.16, 15.60, 1.39, 1.02, 4.21, repro,
2012-07-07,62.80, -127.81, 9.53, 1.4, 1.03, 4.28, repro,
2012-07-08,64.13, -128.63, 7.11, 1.66, 1.18, 5.03, repro,
2012-07-09,62.07, -126.29, 7.52, 1.79, 1.36, 5.55, repro,
2012-07-10,61.50, -125.94, 10.54, 1.38, 1.01, 4.19, repro,
2012-07-11,62.46, -125.56, 9.63, 1.5, 1.09, 4.58, repro,
2012-07-12,61.63, -124.99, 8.00, 1.42, 1.03, 4.31, repro,
2012-07-13,63.26, -125.40, 7.38, 1.49, 1.07, 4.55, repro,
2012-07-14,62.67, -125.31, 8.18, 1.38, 1.01, 4.22, repro,
2012-07-15,62.33, -125.37, 10.56, 2.51, 1.78, 7.96, repro,
2012-07-16,62.88, -126.02, 7.47, 1.56, 1.18, 4.77, repro,
2012-07-17,62.77, -125.69, 6.08, 1.33, 0.95, 4.02, repro,
2012-07-18,62.08, -126.15, 11.79, 1.41, 1.05, 4.31, repro,
2012-07-19,62.18, -125.02, 9.00, 1.42, 1.04, 4.31, repro,
2012-07-20,62.53, -126.07, 8.44, 1.45, 1.08, 4.41, repro,
2012-07-21,62.52, -125.44, 11.34, 1.35, 1.01, 4.15, repro,
2012-07-22,63.21, -125.87, 10.11, 1.88, 1.36, 5.81, repro,
2012-07-23,63.08, -126.92, 7.94, 1.45, 1.08, 4.43, repro,
2012-07-24,62.66, -126.02, 7.62, 1.28, 0.96, 3.94, repro,
2012-07-25,62.11, -126.25, 8.21, 1.27, 0.96, 3.91, repro,
2012-07-26,61.67, -125.89, 8.78, 1.34, 1, 4.11, repro,
2012-07-27,61.73, -125.85, 11.23, 1.47, 1.08, 4.49, repro,
2012-07-28,61.85, -125.41, 12.12, 1.58, 1.15, 4.82, repro,
2012-07-29,62.36, -126.52, 12.18, 1.34, 0.99, 4.1, repro,
2012-07-30,63.51, -126.82, 14.31, 1.39, 1.01, 4.28, repro,
2012-07-31,63.56, -126.54, 9.69, 1.3, 0.96, 3.98, repro,
2012-08-01,62.02, -126.39, 12.65, 1.43, 1.06, 4.37, repro,
2012-08-02,61.78, -126.04, 9.38, 1.81, 1.27, 5.46, repro,
2012-08-03,62.26, -126.33, 8.46, 1.39, 1.03, 4.22, repro,
2012-08-04,61.18, -125.67, 11.13, 1.33, 0.99, 4.07, repro,
2012-08-05,61.94, -126.43, 11.64, 1.38, 1.01, 4.21, repro,
2012-08-06,63.73, -129.14, 11.97, 1.71, 1.26, 5.27, repro,
2012-08-07,62.73, -128.32, 11.85, 1.47, 1.07, 4.46, repro,
2012-08-08,61.55, -126.39, 8.27, 1.51, 1.11, 4.71, repro,
2012-08-09,62.50, -127.50, 10.22, 1.37, 1, 4.19, repro,
2012-08-10,62.13, -127.26, 13.27, 1.34, 0.98, 4.08, repro,
2012-08-11,62.40, -127.65, 11.97, 1.84, 1.31, 5.61, repro,
2012-08-12,61.79, -126.76, 12.10, 1.36, 0.98, 4.14, repro,
2012-08-13,61.90, -126.66, 11.29, 1.37, 1, 4.17, repro,
2012-08-14,61.00, -126.05, 10.29, 1.37, 1.01, 4.21, repro,
2012-08-15,62.74, -127.26, 10.35, 1.69, 1.21, 5.13, repro,
2012-08-16,62.91, -126.71, 13.25, 1.5, 1.08, 4.57, repro,
2012-08-17,62.48, -127.03, 9.37, 1.47, 1.07, 4.52, repro,
2012-08-18,62.32, -127.25, 13.96, 1.32, 0.97, 4.02, repro,
2012-08-19,62.53, -127.29, 12.20, 1.48, 1.08, 4.59, repro,
2012-08-20,63.51, -126.94, 12.83, 1.52, 1.11, 4.65, repro,
2012-08-21,63.33, -128.57, 12.27, 1.5, 1.09, 4.62, repro,
2012-08-22,62.36, -126.60, 12.07, 1.25, 0.91, 3.84, repro,
2012-08-23,62.36, -127.73, 18.14, 1.45, 1.04, 4.43, repro,
2012-08-24,61.08, -127.71, 17.33, 1.76, 1.24, 5.33, repro,
2012-08-25,62.25, -128.50, 15.69, 1.46, 1.06, 4.43, repro,
2012-08-26,62.90, -127.57, 14.78, 1.37, 1.01, 4.2, repro,
2012-08-27,62.70, -128.37, 20.93, 1.76, 1.26, 5.39, repro,
2012-08-28,63.78, -127.82, 15.62, 1.55, 1.15, 4.78, repro,
2012-08-29,64.12, -128.81, 17.73, 1.33, 1, 4.15, repro,
2012-08-30,63.22, -128.29, 15.18, 1.53, 1.13, 4.72, repro,
2012-08-31,65.26, -130.48, 16.02, 1.98, 1.43, 6.16, repro,
2012-09-01,64.35, -130.91, 18.36, 1.78, 1.28, 5.47, repro,
2012-09-02,62.30, -128.04, 13.25, 1.54, 1.13, 4.75, repro,
2012-09-03,62.26, -130.12, 15.56, 1.74, 1.3, 5.48, repro,
2012-09-04,62.34, -128.59, 13.98, 1.61, 1.17, 4.94, repro,
2012-09-05,62.93, -128.85, 16.87, 2.22, 1.58, 6.92, repro,
2012-09-06,63.68, -129.56, 13.36, 1.67, 1.21, 5.14, repro,
2012-09-07,63.79, -129.34, 13.77, 1.47, 1.09, 4.56, repro,
2012-09-08,63.48, -129.12, 16.68, 1.36, 1, 4.18, repro,
2012-09-09,62.88, -129.66, 21.46, 1.23, 0.91, 3.76, repro,
2012-09-10,63.65, -129.12, 18.80, 1.31, 0.98, 4.02, repro,
2012-09-11,64.97, -130.25, 21.93, 1.75, 1.27, 5.37, repro,
2012-09-12,64.77, -131.37, 16.81, 1.59, 1.16, 4.87, repro,
2012-09-13,63.75, -129.90, 13.89, 1.53, 1.13, 4.72, repro,
2012-09-14,63.45, -129.04, 13.89, 1.45, 1.08, 4.47, repro,
2012-09-15,63.88, -129.70, 14.50, 1.39, 1.03, 4.3, repro,
2012-09-16,63.37, -129.99, 14.99, 1.82, 1.34, 5.64, repro,
2012-09-17,66.33, -133.96, 16.11, 1.8, 1.3, 5.4, repro,
2012-09-18,67.41, -136.26, 14.24, 1.51, 1.14, 4.65, repro,
2012-09-19,68.78, -137.63, 12.76, 1.72, 1.28, 5.33, repro,
2012-09-20,69.89, -139.02, 13.11, 2.23, 1.61, 6.92, repro,
2012-09-21,70.35, -137.31, 16.58, 2.1, 1.51, 6.55, repro,
2012-09-22,72.32, -139.02, 19.25, 1.89, 1.38, 5.84, repro,
2012-09-23,70.48, -139.42, 14.04, 1.91, 1.4, 5.96, repro,
2012-09-24,69.60, -137.73, 11.02, 1.5, 1.12, 4.63, repro,
2012-09-25,71.06, -139.34, 12.04, 1.51, 1.14, 4.67, repro,
2012-09-26,69.63, -139.64, 16.22, 1.7, 1.25, 5.28, repro,
2012-09-27,69.05, -139.63, 17.82, 1.85, 1.35, 5.76, repro,
2012-09-28,68.88, -139.27, 16.37, 1.51, 1.11, 4.65, repro,
2012-09-29,70.69, -138.78, 11.69, 1.8, 1.34, 5.59, repro,
2012-09-30,71.62, -138.89, 7.83, 1.67, 1.21, 5.17, repro,
2012-10-01,69.30, -136.70, 5.44, 1.6, 1.16, 4.81, repro,
2012-10-02,71.72, -137.71, 2.33, 1.46, 1.12, 4.47, repro,
2012-10-03,73.21, -138.69, 4.35, 1.48, 1.09, 4.55, repro,
2012-10-04,71.64, -138.90, 8.40, 2.06, 1.47, 6.37, repro,
2012-10-05,70.39, -137.90, 2.19, 1.78, 1.29, 5.49, repro,
2012-10-06,73.22, -138.94, 6.89, 1.96, 1.42, 6.13, repro,
2012-10-07,70.41, -138.25, 5.57, 1.69, 1.22, 5.21, repro,
2012-10-08,70.39, -136.53, 9.64, 1.82, 1.42, 5.78, repro,
2012-10-09,70.22, -136.69, 6.98, 1.66, 1.27, 5.12, repro,
2012-10-10,70.93, -138.94, 8.67, 1.4, 1.03, 4.29, repro,
2012-10-11,70.53, -138.59, 11.25, 1.54, 1.12, 4.72, repro,
2012-10-12,69.66, -139.32, 17.67, 1.44, 1.05, 4.42, repro,
2012-10-13,70.53, -140.67, 16.94, 1.85, 1.38, 5.89, repro,
2012-10-14,71.05, -139.80, 19.03, 1.61, 1.16, 4.96, repro,
2012-10-15,70.76, -139.94, 18.45, 1.84, 1.33, 5.61, repro,
2012-10-16,70.11, -140.95, 19.47, 1.62, 1.21, 4.94, repro,
2012-10-17,70.80, -139.90, 13.45, 1.74, 1.29, 5.29, repro,
2012-10-18,71.29, -139.65, 11.08, 1.47, 1.07, 4.47, repro,
2012-10-19,72.02, -139.24, 13.87, 1.36, 1.02, 4.17, repro,
2012-10-20,72.33, -139.87, 15.55, 1.32, 1, 4.05, repro,
2012-10-21,72.09, -139.65, 11.90, 1.4, 1.05, 4.28, repro,
2012-10-22,72.59, -139.96, 10.76, 1.23, 0.93, 3.77, repro,
2012-10-23,72.50, -139.42, 7.80, 1.27, 0.96, 3.86, repro,
2012-10-24,72.48, -140.09, 5.25, 1.27, 0.97, 3.87, repro,
2012-10-25,73.55, -139.94, 4.83, 1.35, 1.01, 4.11, repro,
2012-10-26,72.08, -139.65, 7.13, 1.36, 1.01, 4.15, repro,
2012-10-27,71.97, -139.82, 7.70, 1.24, 0.93, 3.81, repro,
2012-10-28,71.81, -139.92, 7.90, 1.35, 1.01, 4.12, repro,
2012-10-29,71.99, -139.80, 7.23, 1.3, 0.97, 3.96, repro,
2012-10-30,74.68, -139.10, 14.53, 1.63, 1.21, 4.95, repro,
2012-10-31,72.66, -141.70, 13.85, 1.58, 1.18, 4.8, repro,
2012-11-01,72.95, -140.27, 13.88, 1.8, 1.39, 5.51, repro,
2012-11-02,72.67, -141.73, 10.75, 1.65, 1.23, 5.07, repro,
2012-11-03,73.30, -142.13, 22.66, 1.7, 1.22, 5.2, repro,
2012-11-04,72.00, -142.06, 19.51, 1.52, 1.13, 4.63, repro,
2012-11-05,71.31, -140.59, 17.12, 1.39, 1.04, 4.25, repro,
2012-11-06,73.38, -142.29, 10.69, 1.46, 1.08, 4.43, repro,
2012-11-07,72.01, -141.24, 9.90, 1.4, 1.05, 4.26, repro,
2012-11-08,72.93, -140.47, 8.20, 1.4, 1.05, 4.26, repro,
2012-11-09,74.08, -141.37, 9.06, 1.46, 1.09, 4.42, repro,
2012-11-10,72.91, -141.72, 17.08, 1.44, 1.07, 4.38, repro,
2012-11-11,73.23, -142.80, 13.73, 1.38, 1.02, 4.21, repro,
2012-11-12,71.91, -141.52, 13.37, 1.41, 1.04, 4.29, repro,
2012-11-13,71.91, -142.68, 10.35, 1.61, 1.18, 4.92, repro,
2012-11-14,72.95, -142.50, 14.30, 2.01, 1.42, 6.03, repro,
2012-11-15,72.60, -143.26, 15.42, 1.56, 1.13, 4.74, repro,
2012-11-16,72.46, -142.42, 14.14, 1.39, 1.03, 4.27, repro,
2012-11-17,73.03, -143.04, 16.44, 1.45, 1.05, 4.4, repro,
2012-11-18,75.22, -144.22, 23.52, 1.45, 1.06, 4.4, repro,
2012-11-19,72.93, -142.44, 13.46, 1.34, 0.99, 4.13, repro,
2012-11-20,72.75, -141.55, 10.39, 1.35, 0.98, 4.13, repro,
2012-11-21,72.21, -141.72, 12.62, 1.26, 0.94, 3.91, repro,
2012-11-22,73.56, -142.73, 8.36, 1.46, 1.05, 4.46, repro,
2012-11-23,73.10, -141.21, 7.09, 1.43, 1.03, 4.38, repro,
2012-11-24,71.71, -141.52, 8.68, 1.33, 0.99, 4.09, repro,
2012-11-25,74.59, -141.69, 4.21, 1.32, 0.97, 4.05, repro,
2012-11-26,76.26, -141.67, 6.95, 1.44, 1.05, 4.43, repro,
2012-11-27,73.57, -142.32, 5.18, 1.23, 0.9, 3.78, repro,
2012-11-28,73.39, -142.47, 5.54, 1.3, 0.96, 3.93, repro,
2012-11-29,73.59, -141.96, 8.55, 1.26, 0.92, 3.84, repro,
2012-11-30,72.56, -142.21, 10.69, 1.33, 0.97, 4.08, repro,
2012-12-01,72.87, -142.63, 12.26, 1.32, 0.95, 4.04, repro,
2012-12-02,72.02, -142.60, 16.32, 1.36, 0.99, 4.13, repro,
2012-12-03,73.93, -143.39, 12.91, 1.24, 0.9, 3.81, repro,
2012-12-04,73.45, -143.62, 11.22, 1.26, 0.9, 3.84, repro,
2012-12-05,73.94, -143.47, 9.89, 1.41, 1.02, 4.33, repro,
2012-12-06,75.42, -144.16, 14.71, 1.59, 1.14, 4.87, repro,
2012-12-07,73.36, -142.40, 8.43, 1.38, 0.97, 4.18, repro,
2012-12-08,75.57, -144.65, 14.23, 1.41, 1.01, 4.3, repro,
2012-12-09,73.82, -143.46, 12.26, 1.6, 1.14, 4.88, repro,
2012-12-10,74.13, -143.02, 12.65, 1.53, 1.1, 4.68, repro,
2012-12-11,74.06, -142.76, 14.09, 1.44, 1.03, 4.42, repro,
2012-12-12,74.50, -143.99, 12.32, 1.44, 1.03, 4.33, repro,
2012-12-13,73.69, -144.28, 20.49, 1.54, 1.11, 4.66, repro,
2012-12-14,74.17, -145.17, 21.71, 1.51, 1.08, 4.52, repro,
2012-12-15,72.13, -145.14, 21.93, 1.24, 0.89, 3.76, repro,
2012-12-16,73.65, -145.78, 20.17, 1.35, 0.96, 4.06, repro,
2012-12-17,73.97, -144.83, 19.83, 1.23, 0.89, 3.73, repro,
2012-12-18,73.86, -144.72, 14.14, 1.41, 1, 4.23, repro,
2012-12-19,74.07, -144.64, 14.62, 1.29, 0.93, 3.9, repro,
2012-12-20,74.71, -144.02, 9.37, 1.31, 0.94, 3.96, repro,
2012-12-21,75.47, -144.91, 7.00, 1.28, 0.91, 3.89, repro,
2012-12-22,75.15, -144.56, 9.74, 1.24, 0.9, 3.8, repro,
2012-12-23,74.68, -143.91, 8.31, 1.26, 0.9, 3.87, repro,
2012-12-24,75.90, -144.54, 7.89, 1.41, 0.99, 4.23, repro,
2012-12-25,76.25, -145.19, 9.46, 1.4, 0.99, 4.26, repro,
2012-12-26,75.84, -145.58, 11.22, 1.39, 0.97, 4.19, repro,
2012-12-27,76.14, -147.22, 17.00, 1.49, 1.06, 4.53, repro,
2012-12-28,74.21, -144.89, 14.46, 1.44, 1.02, 4.38, repro,
2012-12-29,75.65, -148.06, 14.34, 1.88, 1.37, 5.86, repro,
2012-12-30,73.91, -147.06, 13.44, 1.8, 1.26, 5.54, repro,
2012-12-31,74.50, -146.11, 13.80, 1.62, 1.14, 4.97, repro,
2013-01-01,75.07, -147.23, 5.84, 1.56, 1.12, 4.79, repro,
2013-01-02,74.35, -145.78, 11.73, 1.56, 1.11, 4.75, repro,
2013-01-03,73.47, -145.55, 12.19, 1.65, 1.17, 5.03, repro,
2013-01-04,75.68, -144.73, 14.40, 1.48, 1.06, 4.49, repro,
2013-01-05,75.47, -145.88, 11.03, 1.42, 1.02, 4.33, repro,
2013-01-06,74.90, -147.24, 16.71, 1.58, 1.12, 4.77, rern6,
2013-01-07,74.34, -147.46, 18.46, 1.65, 1.16, 5, rern6,
2013-01-08,74.88, -146.97, 15.10, 1.41, 1, 4.29, rern6,
2013-01-09,74.01, -145.15, 12.93, 1.33, 0.94, 4.04, rern6,
2013-01-10,74.68, -146.57, 7.06, 1.42, 1.01, 4.26, rern6,
2013-01-11,77.16, -147.10, 7.73, 1.38, 0.98, 4.18, rern6,
2013-01-12,76.81, -147.11, 2.65, 1.53, 1.09, 4.61, rern6,
2013-01-13,72.37, -144.94, 10.78, 1.56, 1.1, 4.72, rern6,
2013-01-14,72.35, -146.04, 9.42, 1.61, 1.14, 4.9, rern6,
2013-01-15,73.07, -147.12, 5.59, 1.48, 1.06, 4.51, rern6,
2013-01-16,74.81, -146.33, 4.85, 1.51, 1.07, 4.6, rern6,
2013-01-17,72.52, -146.21, 5.91, 1.51, 1.07, 4.61, rern6,
2013-01-18,73.14, -146.69, 4.98, 1.34, 0.96, 4.07, rern6,
2013-01-19,73.66, -146.82, 1.77, 1.32, 0.95, 4.03, rern6,
2013-01-20,73.73, -148.63, 2.12, 1.53, 1.1, 4.65, rern6,
2013-01-21,77.79, -152.24, 3.37, 1.76, 1.24, 5.34, rern6,
2013-01-22,74.79, -148.18, 2.66, 1.6, 1.13, 4.84, rern6,
2013-01-23,74.79, -151.66, 6.64, 1.51, 1.08, 4.56, rern6,
2013-01-24,73.89, -148.49, 9.12, 1.45, 1.04, 4.37, rern6,
2013-01-25,73.07, -146.59, 8.97, 1.45, 1.04, 4.37, rern6,
2013-01-26,72.05, -147.13, 13.91, 1.53, 1.1, 4.62, rern6,
2013-01-27,73.11, -146.83, 10.40, 1.29, 0.93, 3.9, rern6,
2013-01-28,74.34, -146.88, 5.54, 1.24, 0.9, 3.76, rern6,
2013-01-29,74.91, -147.71, 5.26, 1.24, 0.9, 3.77, rern6,
2013-01-30,74.99, -147.10, 9.11, 1.5, 1.08, 4.54, rern6,
2013-01-31,74.00, -148.16, 3.46, 1.44, 1.03, 4.33, rern6,
2013-02-01,74.95, -149.84, 2.38, 1.62, 1.15, 4.88, rern6,
2013-02-02,75.04, -151.38, 3.01, 1.51, 1.09, 4.56, rern6,
2013-02-03,73.32, -149.62, 10.81, 1.42, 1.03, 4.28, rern6,
2013-02-04,74.00, -147.95, 6.53, 1.46, 1.06, 4.45, rern6,
2013-02-05,73.54, -147.54, 9.59, 1.4, 1.02, 4.22, rern6,
2013-02-06,73.86, -148.78, 8.32, 1.4, 1.01, 4.18, rern6,
2013-02-07,74.26, -148.97, 7.56, 1.35, 1, 4.09, rern6,
2013-02-08,74.47, -148.27, 10.04, 1.54, 1.11, 4.66, rern6,
2013-02-09,76.80, -148.12, 14.20, 1.51, 1.11, 4.59, rern6,
2013-02-10,73.27, -149.41, 9.73, 1.66, 1.23, 5.07, rern6,
2013-02-11,74.09, -148.33, 13.64, 1.58, 1.17, 4.77, rern6,
2013-02-12,75.94, -147.89, 11.46, 1.51, 1.15, 4.5, rern6,
2013-02-13,76.52, -148.64, 11.44, 1.69, 1.23, 5.05, rern6,
2013-02-14,75.65, -151.57, 9.36, 1.8, 1.33, 5.53, rern6,
2013-02-15,73.59, -148.91, 1.64, 1.54, 1.12, 4.56, rern6,
2013-02-16,73.02, -148.31, 5.75, 1.55, 1.14, 4.68, rern6,
2013-02-17,76.63, -150.62, 6.19, 1.52, 1.11, 4.5, rern6,
2013-02-18,76.20, -150.30, 5.63, 1.5, 1.16, 4.52, rern6,
2013-02-19,76.59, -149.90, 4.49, 1.59, 1.25, 4.73, rern6,
2013-02-20,74.89, -149.93, 14.03, 1.54, 1.23, 4.56, rern6,
2013-02-21,74.91, -149.93, 10.33, 1.43, 1.24, 4.3, rern6,
2013-02-22,74.64, -147.35, 10.11, 1.52, 1.17, 4.55, rern6,
2013-02-23,74.80, -150.44, 15.62, 1.54, 1.12, 4.5, rern6,
2013-02-24,75.40, -150.14, 10.10, 1.63, 1.18, 4.9, rern6,
2013-02-25,77.32, -151.47, 12.24, 1.44, 1.12, 4.31, rern6,
2013-02-26,76.02, -150.56, 10.34, 1.52, 1.11, 4.49, rern6,
2013-02-27,76.58, -150.33, 11.39, 1.54, 1.13, 4.61, rern6,
2013-02-28,76.03, -151.06, 10.76, 1.49, 1.12, 4.39, rern6,
2013-03-01,76.87, -151.45, 7.73, 1.81, 1.32, 5.33, rern6,
2013-03-02,76.51, -150.54, 0.82, 1.48, 1.1, 4.36, rern6,
2013-03-03,78.97, -150.22, -2.06, 1.46, 1.08, 4.41, rern6,
2013-03-04,76.78, -149.43, -1.95, 1.43, 1.06, 4.32, rern6,
2013-03-05,76.25, -148.01, -2.22, 1.34, 0.99, 4.02, rern6,
2013-03-06,76.16, -148.49, 4.28, 1.4, 1.06, 4.31, rern6,
2013-03-07,76.33, -148.45, 7.65, 1.5, 1.13, 4.61, rern6,
2013-03-08,77.46, -151.86, 10.05, 1.53, 1.13, 4.59, rern6,
2013-03-09,76.87, -149.59, 6.51, 1.53, 1.13, 4.59, rern6,
2013-03-10,76.17, -150.31, 2.05, 1.44, 1.06, 4.3, rern6,
2013-03-11,77.94, -151.26, -1.44, 1.41, 1.07, 4.2, rern6,
2013-03-12,76.84, -150.20, -0.50, 1.37, 1.02, 4.11, rern6,
2013-03-13,77.00, -150.71, 0.20, 1.35, 0.99, 4.03, rern6,
2013-03-14,77.48, -151.84, 0.59, 1.42, 1.04, 4.25, rern6,
2013-03-15,77.21, -150.41, 0.90, 1.34, 1.03, 4.03, rern6,
2013-03-16,77.11, -152.28, 2.35, 1.4, 1.06, 4.18, rern6,
2013-03-17,78.50, -149.76, -5.36, 1.92, 1.38, 5.46, rern6,
2013-03-18,77.72, -151.21, 0.49, 1.4, 1.06, 4.18, rern6,
2013-03-19,78.05, -150.60, -0.30, 1.34, 1.01, 4, rern6,
2013-03-20,77.64, -151.08, 3.26, 1.32, 1, 3.94, rern6,
2013-03-21,77.72, -151.08, 1.33, 1.31, 1, 3.93, rern6,
2013-03-22,77.87, -150.97, -0.81, 1.43, 1.08, 4.31, rern6,
2013-03-23,79.69, -151.36, 1.99, 1.37, 1.04, 4.07, rern6,
2013-03-24,78.07, -153.88, 0.51, 1.44, 1.09, 4.32, rern6,
2013-03-25,78.18, -151.75, 4.49, 1.57, 1.16, 4.7, rern6,
2013-03-26,77.20, -151.37, 1.78, 1.37, 1.03, 4.08, rern6,
2013-03-27,77.60, -152.40, 1.80, 1.4, 1.03, 4.11, rern6,
2013-03-28,77.92, -151.58, -0.51, 1.33, 1.01, 3.98, rern6,
